Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATASTEEL,EQ,05-Apr-22,1341.9,1348.45,1358,1329.25,1344,1344.9,1343.14,6329642,8501575039,139394,1373138,21.69
TATASTEEL,EQ,06-Apr-22,1344.9,1350,1386.7,1346.8,1370,1370.75,1370.35,11409754,15635306606,231426,2219075,19.45
TATASTEEL,EQ,07-Apr-22,1370.75,1377,1381,1341,1353.7,1349.5,1360.25,5565064,7569859990,131239,1486268,26.71
TATASTEEL,EQ,08-Apr-22,1349.5,1360.95,1379.95,1356.25,1366.05,1370.75,1368.69,5228771,7156591391,106015,1431420,27.38
TATASTEEL,EQ,11-Apr-22,1370.75,1370.7,1384,1353,1354.55,1357.9,1368.12,4477882,6126268528,112838,1424621,31.81
TATASTEEL,EQ,12-Apr-22,1357.9,1353,1359.95,1296.1,1322,1320.25,1315.64,6919168,9103139740,166013,1876861,27.13
TATASTEEL,EQ,13-Apr-22,1320.25,1334.95,1346,1315,1316.05,1319.5,1328.33,4493780,5969226934,104277,893999,19.89
TATASTEEL,EQ,18-Apr-22,1319.5,1331.9,1358.05,1328.85,1340.25,1339.1,1343.07,8070042,10838623714,233360,2180780,27.02
TATASTEEL,EQ,19-Apr-22,1339.1,1352.6,1366.65,1309,1315,1326.6,1350.88,6477219,8749930979,154119,2125079,32.81
TATASTEEL,EQ,20-Apr-22,1326.6,1329.7,1336.45,1303.05,1315.9,1314.25,1318.65,5410021,7133940459,131794,2001195,36.99
TATASTEEL,EQ,21-Apr-22,1314.25,1316,1322.75,1285.85,1307,1302.15,1301.15,6669028,8677427231,168216,1794176,26.9
TATASTEEL,EQ,22-Apr-22,1302.15,1301.6,1311.55,1273.75,1278.95,1277.55,1291.07,5584823,7210390041,159826,1893755,33.91
TATASTEEL,EQ,25-Apr-22,1277.55,1250,1262.95,1212.8,1223,1220.35,1233.13,7231046,8916844390,230680,2191927,30.31
TATASTEEL,EQ,26-Apr-22,1220.35,1235,1241.7,1225,1232.8,1233.6,1233.12,4481271,5525948859,128605,1329915,29.68
TATASTEEL,EQ,27-Apr-22,1233.6,1227,1255,1210.4,1249,1246.7,1231.77,7120974,8771371654,175421,2274656,31.94
TATASTEEL,EQ,28-Apr-22,1246.7,1259.5,1268.65,1243,1258.65,1260.85,1255.22,5129583,6438734682,130108,1642776,32.03
TATASTEEL,EQ,29-Apr-22,1260.85,1268,1291.7,1265.65,1270,1271.05,1279.58,5717352,7315837150,129717,1818040,31.8
TATASTEEL,EQ,02-May-22,1271.05,1257,1302.75,1248.75,1297,1295.2,1278.27,5442617,6957139104,119557,1845085,33.9
TATASTEEL,EQ,04-May-22,1295.2,1327.3,1330,1254.5,1266,1261.35,1289.6,13837402,17844727443,357495,4152302,30.01
TATASTEEL,EQ,05-May-22,1261.35,1280,1316.5,1278,1288,1284.25,1297.73,8733816,11334156939,210766,1830516,20.96
TATASTEEL,EQ,06-May-22,1284.25,1268,1290,1243,1287,1283.7,1263.22,6925676,8748619579,187318,1652177,23.86
TATASTEEL,EQ,09-May-22,1283.7,1260,1274.2,1244,1251.2,1252.25,1258.06,5055297,6359852196,137090,1300573,25.73
TATASTEEL,EQ,10-May-22,1252.25,1251,1254.65,1158.55,1161.25,1164.9,1196.85,14553742,17418666399,344143,5591353,38.42
TATASTEEL,EQ,11-May-22,1164.9,1175,1190.9,1123.4,1172.9,1165.7,1156.89,10706315,12386051281,243457,2587084,24.16
TATASTEEL,EQ,12-May-22,1165.7,1156.9,1162.4,1103,1118.9,1117.7,1123.94,9419161,10586609044,258893,2995396,31.8
TATASTEEL,EQ,13-May-22,1117.7,1135,1151.8,1092,1094.85,1097,1121.87,8292441,9303075385,216773,2348010,28.32
TATASTEEL,EQ,16-May-22,1097,1119,1134.8,1094,1109,1103.5,1113.49,6266527,6977732748,166059,1299070,20.73
TATASTEEL,EQ,17-May-22,1103.5,1124,1197.2,1115.35,1188.65,1188.7,1159.41,11287601,13086910017,266051,2819702,24.98
TATASTEEL,EQ,18-May-22,1188.7,1197,1209,1175,1182,1180.25,1188.16,8157580,9692512041,181740,1864461,22.86
TATASTEEL,EQ,19-May-22,1180.25,1151,1154.9,1115.2,1129,1122.15,1131.89,6654563,7532244312,203644,1967051,29.56
TATASTEEL,EQ,20-May-22,1122.15,1162.35,1178.4,1141.2,1169,1170.6,1160.8,6552750,7606442067,151877,1072377,16.37
TATASTEEL,EQ,23-May-22,1170.6,1097,1097,1001.55,1026.35,1022.95,1028.79,27388346,28176958026,679018,9642101,35.21
TATASTEEL,EQ,24-May-22,1022.95,1031,1039.9,1002,1005.5,1006.35,1019.59,12311666,12552845856,334234,3727672,30.28
TATASTEEL,EQ,25-May-22,1006.35,1006.35,1018.35,991.8,998.45,999.1,1003.91,9934340,9973206377,259288,2833681,28.52
TATASTEEL,EQ,26-May-22,999.1,1007,1067.55,995.25,1049.9,1052,1033.14,15053673,15552552283,307131,4267397,28.35
TATASTEEL,EQ,27-May-22,1052,1062.5,1067.65,1032,1043,1043.5,1046.56,7477220,7825323762,171055,1350881,18.07
TATASTEEL,EQ,30-May-22,1043.5,1059,1063.8,1043.5,1047,1047.45,1052.09,7270159,7648867515,174459,2152267,29.6
TATASTEEL,EQ,31-May-22,1047.45,1045,1071.9,1037,1055.75,1055.65,1059.42,12124885,12845390666,218150,4978154,41.06
TATASTEEL,EQ,01-Jun-22,1055.65,1065.5,1079,1053.3,1061,1063.55,1065.59,9405529,10022443775,196673,3619999,38.49
TATASTEEL,EQ,02-Jun-22,1063.55,1067.75,1084.75,1059.1,1081,1081.55,1071.47,7917704,8483566201,176345,2929440,37
TATASTEEL,EQ,03-Jun-22,1081.55,1092,1092.8,1065,1067,1067.3,1075.73,5395486,5804071537,134583,1753630,32.5
TATASTEEL,EQ,06-Jun-22,1067.3,1065,1082.9,1049.2,1079,1078.1,1070.79,5726249,6131623842,157272,1280696,22.37
TATASTEEL,EQ,07-Jun-22,1078.1,1067,1081.5,1063.55,1069,1068.5,1069.34,4334157,4634674457,89594,1552632,35.82
TATASTEEL,EQ,08-Jun-22,1068.5,1081,1088.9,1074.05,1086.25,1086.75,1083.69,6473434,7015173441,183637,2287673,35.34
TATASTEEL,EQ,09-Jun-22,1086.75,1074.95,1087.25,1041.2,1041.35,1044.85,1055.38,9854781,10400542210,247940,3909091,39.67
TATASTEEL,EQ,10-Jun-22,1044.85,1030,1031.4,1010.65,1023,1023.7,1020.74,9522563,9720036515,235426,2310147,24.26
TATASTEEL,EQ,13-Jun-22,1023.7,1004.3,1012,990,995,991.95,998.95,8223575,8214919302,264924,3224156,39.21
